No,visitno,shop,info,info1,info2,info3,add,lat,lng,color,url,noimg
19,14,川根温泉ホテル,大井川　7湯めぐり体験,14 大井川　7湯めぐり体験,,,島田市川根町笹間渡195?1,34.95868,138.0909,9bcdcc,http://www.oi-river.com/asobitaiken/taiken/14.html,./img/no/14.png
20,14,田代の郷温泉　伊太和里の湯,大井川　7湯めぐり体験,14 大井川　7湯めぐり体験,,,島田市伊太88-1,34.87245,138.1555,9bcdcc,http://www.oi-river.com/asobitaiken/taiken/14.html,./img/no/14.png
21,14.16,川根温泉　ふれあいの泉,大井川　7湯めぐり体験,14 大井川　7湯めぐり体験,16 川根温泉ゆるゆるスパ気分体験,,島田市川根町笹間渡220,34.95988,138.08969,9bcdcc,http://www.oi-river.com/asobitaiken/taiken/14.html,./img/no/14.png
22,14,川根本町まちづくり観光協会,大井川　7湯めぐり体験,14 大井川　7湯めぐり体験,,,川根本町千頭1216-21,35.10864,138.13799,9bcdcc,http://www.oi-river.com/asobitaiken/taiken/14.html,./img/no/14.png
23,15,木漏れ日リゾート　もりのくに,特製!!ジビエＢＢＱ体験9つのお風呂（温泉）付,15 特製!!ジビエＢＢＱ体験9つのお風呂（温泉）付,,,川根本町奥泉840-1,35.13485,138.15035,9bcdcc,http://www.oi-river.com/asobitaiken/taiken/14.html,./img/no/15.png
24,16,川根温泉　ふれあいの泉,川根温泉ゆるゆるスパ気分体験,16 川根温泉ゆるゆるスパ気分体験,,,島田市川根町笹間渡220,34.95988,138.08969,9bcdcc,http://www.oi-river.com/asobitaiken/taiken/14.html,./img/no/16.png
25,17,寸又峡温泉　翠紅園,老舗旅館で大人の時間体験,17 老舗旅館で大人の時間体験,,,川根本町千頭279,35.17528,138.11772,9bcdcc,http://www.oi-river.com/asobitaiken/taiken/17.html,./img/no/17.png
26,18,求夢荘,ひっそり美人づくり体験,18 ひっそり美人づくり体験,,,川根本町千頭389-1,35.17597,138.11836,9bcdcc,http://www.oi-river.com/asobitaiken/taiken/18.html,./img/no/18.png
27,19,大久保グラススキー場,グラススキー＆マウンテンボード体験,19 グラススキー＆マウンテンボード体験,,,藤枝市瀬戸ノ谷11021,34.96487,138.17955,fb9788,http://www.oi-river.com/asobitaiken/taiken/19.html,./img/no/19.png
28,20,藤枝市陶芸センター,電動ろくろで器づくり体験（２人１組）,20 電動ろくろで器づくり体験（２人１組）,,,藤枝市瀬戸ノ谷1706-1,34.93585,138.20356,fb9788,http://www.oi-river.com/asobitaiken/taiken/20.html,./img/no/20.png
29,21,葵サンプル,食品サンプルフルーツパフェ作り,21 食品サンプルフルーツパフェ作り,,,焼津市祢宜島362-3,34.83936,138.30538,fb9788,http://www.oi-river.com/asobitaiken/taiken/21.html,./img/no/21.png
30,22.23,深海魚船　長兼丸,激レア　駿河湾深海生物ツアー体験,22 激レア　駿河湾深海生物ツアー体験,23 長谷川親分といく深海ザメ漁体験,,焼津市小川港（深海魚船長兼丸前）,34.846818,138.325648,166796,http://www.oi-river.com/asobitaiken/taiken/22.html,./img/no/22.png
31,23,深海魚船　長兼丸,長谷川親分といく深海ザメ漁体験,23 長谷川親分といく深海ザメ漁体験,,,焼津市小川港（深海魚船長兼丸前）,34.846818,138.325648,166796,http://www.oi-river.com/asobitaiken/taiken/22.html,./img/no/23.png
32,24,荒磯,幻の魚クエを喰えー体験,24 幻の魚クエを喰えー体験,,,御前崎市池新田5801-1,34.639225,138.132493,166796,http://www.oi-river.com/asobitaiken/taiken/24.html,./img/no/24.png
